Episode number,Directed by,Written by,Original air date,Prod. code,U.S. viewers (millions),
12,Kevin S. Bright,Zack Rosenblatt,"January 11, 2001(2001-01-11)",226413,22.86[273],11.6/30[274]
13,Stephen Prime,Story by: Ellen Plummer & Sherry BilsingTeleplay by: Brian Buckner & Sebastian Jones,"February 1, 2001(2001-02-01)",226415,22.24[275],10.8/27[276]
14,Ben Weiss,Story by:Vanessa McCarthyTeleplay by: Ellen Plummer & Sherry Bilsing,"February 8, 2001(2001-02-08)",226411,22.40[277],11.2/27[278]
15,Kevin S. Bright,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Andrew Reich & Ted Cohen,"February 15, 2001(2001-02-15)",226416,21.75[279],10.6/27[280]
16,David Schwimmer,Story by: Brian Buckner & Sebastian JonesTeleplay by: Zachary Rosenblatt,"February 22, 2001(2001-02-22)",226417,21.22[281],9.9/24[282]
17,Kevin S. Bright,Story by: Brian Buckner & Sebastian JonesTeleplay by: Andrew Reich & Ted Cohen,"March 15, 2001(2001-03-15)",226414,20.84[283],10.0/29[284]
18,Gary Halvorson,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Brian Boyle,"March 29, 2001(2001-03-29)",226418,17.81[285],8.1/21[286]
19,Gary Halvorson,Andrew Reich & Ted Cohen,"April 19, 2001(2001-04-19)",226421,16.55[287],7.7/22[288]
20,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,"April 26, 2001(2001-04-26)",226419,16.30[289],8.1/24[290]
21,Gary Halvorson,Doty Abrams,"May 3, 2001(2001-05-03)",226424,15.65[291],7.6/21[292]
22,Kevin S. Bright & Gary Halvorson,Story by: Gregory S. MalinsTeleplay by: Brian Buckner & Sebastian Jones,"May 10, 2001(2001-05-10)",226420,17.23[293],8.6/27[294]
23,Kevin S. Bright,Gregory S. Malins,"May 17, 2001(2001-05-17)[b]",226422,30.05[295],15.7/43[296]
1,Kevin S. Bright,David Crane&Marta Kauffman,"September 27, 2001(2001-09-27)",227401,31.70[297],15.8/43[298]
2,David Schwimmer,Dana Klein Borkow,"October 4, 2001(2001-10-04)",227402,30.04[299],14.7/41[300]
3,Sheldon Epps,Sherry Bilsing & Ellen Plummer,"October 11, 2001(2001-10-11)",227403,29.20[301],15.4/34[302]
4,Kevin S. Bright,Scott Silveri,"October 18, 2001(2001-10-18)",227406,25.58[303],12.2/32[304]
5,Gary Halvorson,Brian Buckner&Sebastian Jones,"October 25, 2001(2001-10-25)",227404,25.64[305],12.5/33[306]
6,Gary Halvorson,Mark Kunerth,"November 1, 2001(2001-11-01)",227405,26.96[307],13.5/33[308]
7,Kevin S. Bright,R. Lee Fleming Jr.,"November 8, 2001(2001-11-08)",227407,24.24[309],12.1/30[310]
8,David Schwimmer,Andrew Reich & Ted Cohen,"November 15, 2001(2001-11-15)",227408,26.54[311],12.6/33[312]
9,Gary Halvorson,Shana Goldberg-Meehan,"November 22, 2001(2001-11-22)",227410,24.24[313],11.1/31[314]
10,Kevin S. Bright,Story by:Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,"December 6, 2001(2001-12-06)",227409,22.44[315],10.6/29[316]
11,Gary Halvorson,Robert Carlock,"December 13, 2001(2001-12-13)",227411,23.85[317],11.4/32[318]
12,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,"January 10, 2002(2002-01-10)",227412,25.53[319],12.8/30[320]
13,Ben Weiss,Vanessa McCarthy,"January 17, 2002(2002-01-17)",227413,29.24[321],14.1/35[322]
14,Kevin S. Bright,Brian Buckner & Sebastian Jones,"January 31, 2002(2002-01-31)",227414,28.64[323],14.2/37[324]
15,Kevin S. Bright,Dana Klein Borkow,"February 7, 2002(2002-02-07)",227415,28.64[325],14.5/37[326]
16,Ben Weiss,Andrew Reich & Ted Cohen,"February 28, 2002(2002-02-28)",227416,27.52[327],13.2/33[328]
17,Gary Halvorson,Story by: R. Lee Fleming Jr.Teleplay by: Steven Rosenhaus,"March 7, 2002(2002-03-07)",227417,26.30[329],12.4/32[330]
18,Gary Halvorson,Story by: Peter TibbalsTeleplay by: Mark Kunerth,"March 28, 2002(2002-03-28)",227418,22.05[331],10.5/30[332]
19,Gary Halvorson,Doty Abrams,"April 4, 2002(2002-04-04)",227424,22.59[333],11.3/30[334]
20,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,"April 25, 2002(2002-04-25)",227421,22.24[335],10.7/29[336]
21,Gary Halvorson,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,"May 2, 2002(2002-05-02)",227419,23.97[337],11.7/32[338]
22,Gary Halvorson,Shana Goldberg-Meehan,"May 9, 2002(2002-05-09)",227420,24.32[339],11.7/33[340]
23,Kevin S. Bright,Scott Silveri,"May 16, 2002(2002-05-16)[b]",227422,34.91[341],17.0/44[342]
1,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,"September 26, 2002(2002-09-26)",175251,34.01[343],16.6/42[344]
2,Sheldon Epps,Dana Klein Borkow,"October 3, 2002(2002-10-03)",175252,28.93[345],14.7/38[346]
3,Roger Christiansen,Brian Buckner&Sebastian Jones,"October 10, 2002(2002-10-10)",175254,26.63[347],12.7/33[348]
